II. COURSEWISE TIMETABLE                                                                                                                                                                                                            FIRST SEMESTER 2024-2025,,,,,,,,,,,
COM COD,COURSE NO.,COURSE TITLE,CREDIT,,,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,MIDSEM DATE & SESSION,COMPRE DATE & SESSION
,,,L,P,U,,,,,,
1005,BITS F112,TECHNICAL REPORT WRITING,2,-,2,L1,Sanjiv Kumar Choudhary,5102,M W  9,09/10 AN2,16/12 AN
,,,,,,L2,Paul Mathew,6152,M W  6,09/10 AN2,16/12 AN
,,,,,,L3,SUSHILA SHEKHAWAT,6151,M W  7,09/10 AN2,16/12 AN
,,,,,,,Ruchika Sharma(RS),,,,
,,,,,,,Kirti Singh(RS),,,,
,,,,,,,Pooja Chatterjee(RS),,,,
,,,,,,,Vibha(RS),,,,
,,,,,,,Asita A.(RS),,,,
,,,,,,,Swati(RS),,,,
,,,,,,,Sonika(RS),,,,
,,,,,,,Kadam Onkar Rajendra(RS),,,,
,,,,,,,Manasi Panwar(RS),,,,
,,,,,,,Pradeep Bailwal(RS),,,,
,,,,,,,Pranjal Aarav(RS),,,,
,,,,,,L4,Sangeeta Sharma,6151,M W  8,09/10 AN2,16/12 AN
,,,,,,L5,Virendra Singh Nirban,6151,T Th  7,09/10 AN2,16/12 AN
,,,,,,L6,Prateek,6152,T Th  8,09/10 AN2,16/12 AN
