COM COD,COURSE NO.,COURSE TITLE,CREDIT,,,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,MIDSEM DATE & SESSION,COMPRE DATE & SESSION
,,,L,P,U,,,,,,
1006,CHEM F110,CHEMISTRY LABORATORY,-,2,1,P1,Paritosh Shukla,3115,F  1 2,,
,,,,,,,Susmita Pradhan(RS),,,,
,,,,,,,Mainika Verma(RS),,,,
,,,,,,P2,PRASHANT UDAY MANOHAR,3115,F  3 4,,
,,,,,,,Shubhangi Sharma(RS),,,,
,,,,,,,Pinki(RS),,,,
,,,,,,P3,Annu(RS),3115,F  6 7,,
,,,,,,,Ritu Rani(RS),,,,
,,,,,,,Nitika(RS),,,,
,,,,,,,Nancy(RS),,,,
,,,,,,P4,Ajay Kumar Sah,3115,F  8 9,,
,,,,,,,Sakshi Bajaj(RS),,,,
,,,,,,,Khushika(RS),,,,
,,,,,,P5,Paritosh Shukla,3115,M  1 2,,
,,,,,,,Ritu Kumari(RS),,,,
,,,,,,,Arpit(RS),,,,
,,,,,,P6,Prekshi Gupta(RS),3115,M  3 4,,
,,,,,,,Bharti Khungar,,,,
,,,,,,,Nitika(RS),,,,
,,,,,,P7,Reena Jangir(RS),3115,M  6 7,,
,,,,,,,Satyajit Patra,,,,
,,,,,,,Pragati Shrivastava(RS),,,,
,,,,,,P8,Madhushree Sarkar,3115,M  8 9,,
,,,,,,,Priyanka Bhardwaj(RS),,,,
,,,,,,,Ritu Kumari(RS),,,,
,,,,,,P9,Nidhi(RS),3115,S  1 2,,
,,,,,,,Prashant Choubey(RS),,,,
,,,,,,,Tank Disha Harsukhbhai(RS),,,,
,,,,,,P10,Reena Jangir(RS),3115,S  3 4,,
,,,,,,,Khushika(RS),,,,
,,,,,,,Pinki(RS),,,,
,,,,,,P11,Gadekar Amol Bhagwanrao(RS),3115,S  6 7,,
,,,,,,,Shruti Soni(RS),,,,
,,,,,,,Vani Dhyani(RS),,,,
,,,,,,P12,Heena(RS),3115,S  8 9,,
,,,,,,,Anakshi Boruah(RS),,,,
,,,,,,,Tarun Jangir(RS),,,,
,,,,,,,Samya Suvra Datta(RS),,,,
,,,,,,P13,Satyajit Patra,3115,T  1 2,,
,,,,,,,Tank Disha Harsukhbhai(RS),,,,
,,,,,,,Susmita Pradhan(RS),,,,
,,,,,,P14,Astha Gupta(RS),3115,T  3 4,,
,,,,,,,Ram Kinkar Roy,,,,
,,,,,,,Shruti Soni(RS),,,,
,,,,,,P15,Prashant Uday Manohar,3115,T  6 7,,
,,,,,,,Borade Somnath Arjun(RS),,,,
,,,,,,,Meenu(RS),,,,
,,,,,,P16,Madhushree Sarkar,3115,T  8 9,,
,,,,,,,Priyanka Bhardwaj(RS),,,,
,,,,,,,Arun Patel(RS),,,,
,,,,,,P17,Prekshi Gupta(RS),3115,Th  1 2,,
,,,,,,,Shubhangi Sharma(RS),,,,
,,,,,,,Tarun Jangir(RS),,,,
,,,,,,P18,Amrita Chakraborty,3115,Th  3 4,,
,,,,,,,Ritu Rani(RS),,,,
,,,,,,,Nidhi(RS),,,,
,,,,,,P19,Ram Kinkar Roy,3115,Th  6 7,,
,,,,,,,Meenu(RS),,,,
,,,,,,,Anakshi Boruah(RS),,,,
,,,,,,P20,Gadekar Amol Bhagwanrao(RS),3115,Th  8 9,,
,,,,,,,Ajay Kumar Sah,,,,
,,,,,,,Sakshi Bajaj(RS),,,,
,,,,,,P21,Surojit Pande,3115,W  1 2,,
,,,,,,,Nidhi(RS),,,,
,,,,,,,Prashant Choubey(RS),,,,
,,,,,,P22,Bibhas Ranjan Sarkar,3115,W  3 4,,
,,,,,,,Arun Patel(RS),,,,
,,,,,,,Sakshi Kushwaha(RS),,,,
,,,,,,P23,Astha Gupta(RS),3115,W  6 7,,
,,,,,,,Borade Somnath Arjun(RS),,,,
,,,,,,,Arpit(RS),,,,
,,,,,,,Antima Saini(RS),,,,
,,,,,,P24,Heena(RS),3115,W  8 9,,
,,,,,,,Annu(RS),,,,
,,,,,,,Surojit Pande,,,,
